// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// resources automatically created; see our EMNLP 2015 paper for details:
// https://aclweb.org/anthology/D/D15/D15-1063.pdf
//
// english: "Monday","monday"
"Lumbu kia ntete","monday"
// english: "Tuesday","tuesday"
"Lumbu kia nzole","tuesday"
// english: "Wednesday","wednesday"
"Lumbu kia ntatu","wednesday"
// english: "Thursday","thursday"
"Lumbu kia nya","thursday"
// english: "Friday","friday"
"Lumbu kia ntanu","friday"
// english: "Saturday","saturday"
"Lumbu kia sabala","saturday"
// english: "Sunday","sunday"
"Lumbu kia lumingu","sunday"
