// author: Matje van de Camp
// email:  m.m.v.d.camp@tilburguniversity.edu
// date:   2011-09-15
// This file contains "decade words" and their normalized expressions 
// according to TIMEX3 format.
// For example, the normalized value of "jaren twintig" is "2X"
// FORMAT: "decade-word","normalized-decade-word"
"jaren twintig","2X"
"jaren dertig","3X"
"jaren veertig","4X"
"jaren vijftig","5X"
"jaren zestig","6X"
"jaren zeventig","7X"
"jaren tachtig","8X"
"jaren negentig","9X"
"twintiger jaren","2X"
"dertiger jaren","3X"
"veertiger jaren","4X"
"vijftiger jaren","5X"
"zestiger jaren","6X"
"zeventiger jaren","7X"
"tachtiger jaren","8X"
"negentiger jaren","9X"
// UPPER CASE
"Jaren twintig","2X"
"Jaren dertig","3X"
"Jaren veertig","4X"
"Jaren vijftig","5X"
"Jaren zestig","6X"
"Jaren zeventig","7X"
"Jaren tachtig","8X"
"Jaren negentig","9X"
"Twintiger jaren","2X"
"Dertiger jaren","3X"
"Veertiger jaren","4X"
"Vijftiger jaren","5X"
"Zestiger jaren","6X"
"Zeventiger jaren","7X"
"Tachtiger jaren","8X"
"Negentiger jaren","9X"
