"[Gg]azetec[iı]ler [Gg][üu]n[üu]","01-10"

"[Dd][üu]nya [Gg][üu]mr[üu]k [Gg][üu]n[üu]","01-26"

"[Dd][üu]nya [Ss][iı]garay[iı] [Bb][iı]rakma [Gg][üu]n[üu]","02-09"

"[Ss]evg[iı]l[iı]ler [Gg][üu]n[üu]","02-14"

"[Ss][iı]v[iı]l [Ss]avunma [Gg][üu]n[üu]","02-28"

"[Dd][üu]nya [Kk]ad[iı]nlar [Gg][üu]n[üu]","03-08"	

"[İIiı]st[iı]klâl [Mm]ar[şs][iı]’n[iı]n [Kk]abul[üu] [Vv]e [Mm]ehmet [Aa]k[iı]f [Ee][Rr][Ss][Oo][Yy]’u [Aa]nma [Gg][üu]n[üu]","03-12"

"[Tt][iı]p [Bb]ayram[iı]","03-14"

"[ÖOöo][gğ]retmen [Oo]kullar[iı]n[iı]n [Kk]urulu[şs] [Yy][iı]l [Dd][öo]n[üu]m[üu]","03-16"

"[ÇCçc]anakkale [Zz]afer[iı]","03-18"

"[ŞSşs]eh[iı]tler [Gg][üu]n[üu]","03-18"

"[Nn]evruz [Gg][üu]n[üu]n[üu] [İIiı][çc][iı]ne [Aa]lan [Hh]afta [Tt][üu]rk [Dd][üu]nyas[iı] [Vv]e [Tt]opluluklar[iı] [Hh]aftas[iı]"

"[Uu]luslararas[iı] [İIiı]I[iı]ı]rk [Aa]y[iı]r[iı]m[iı] [İIiı]le [Mm][üu]cadele [Gg][üu]n[üu]","03-21"

"[Dd][üu]nya [Ss]u [Gg][üu]n[üu]","03-22"

"[Dd][üu]nya [Mm]eteoroloj[iı] [Gg][üu]n[üu]","03-23"

"[Dd][üu]nya [Tt][iı]yatrolar [Gg][üu]n[üu]","03-27"

"[Nn][Aa][Tt][Oo] [Gg][üu]n[üu]","04-04"

"[Aa]vukatlar [Gg][üu]n[üu]","04-05"

"[Dd][üu]nya [Ss]a[gğ]l[iı]k [Gg][üu]n[üu]","04-07"

"[Pp]ol[iı]s [Tt]e[şs]k[iı]lat[iı]’n[iı]n [Kk]urulu[şs] [Gg][üu]n[üu]","04-10"	

"[Uu]lusal [Ee]gemenl[iı]k [Vv]e [ÇCçc]ocuk [Bb]ayram[iı]","04-23"

"[Tt][üu]rk[iı]ye [İIiı]stat[iı]st[iı]k [Gg][üu]n[üu]","04-25"	

"[Aa]vrupa [Gg][üu]n[üu]","05-05"

"[Hh][iı]drellez [Kk][üu]lt[üu]r [Vv]e [Bb]ahar [Bb]ayram[iı]","05-06"

"[Hh]ava [ŞSşs]eh[iı]tler[iı]n[iı] [Aa]nma [Gg][üu]n[üu]","05-15"

"[Dd][üu]nya [Ee]czac[iı]l[iı]k [Gg][üu]n[üu]","05-14"

"[Uu]luslararas[iı] [Aa][iı]le [Gg][üu]n[üu]","05-15"

