// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// resources automatically created; see our EMNLP 2015 paper for details:
// https://aclweb.org/anthology/D/D15/D15-1063.pdf
//
// english: "day","day"
"[Dd]agur","day"
"[Ss]amdøgur","day"
// english: "weekend","week-WE"
"[Vv]ikuskifti","week-WE"
// english: "week","week"
"[Vv]ika","week"
// english: "month","month"
"[Mm]ánaður","month"
// english: "quarter","quarter"
"ársfjórðingur","quarter"
// english: "year","year"
"ár","year"
// english: "century","century"
"øld","century"
