// author: Véronique Moriceau
// email:  moriceau@limsi.fr
// date:   2013-05-27
// This file contains "approximate words" and their normalized expressions
// for dates/times according to TIMEX3 format.
// For example, the normalized value of "about" is "APPROX"
// FORMAT: "approximate-word","normalized-approximate-word"
// about
"[Aa]pproximativement","APPROX"
"[Aa]u moins","APPROX"
"[Aa]utour de","APPROX"
"[Ee]nviron","APPROX"
"[Pp]resque","APPROX"
"[Pp]rès de","APPROX"
// less
"[Pp]as plus de","EQUAL_OR_LESS"
"[Jj]usqu'à","EQUAL_OR_LESS"
"[Mm]oins de","LESS_THAN"
"[Mm]oins que","LESS_THAN"
//  more
"[Pp]lus de","MORE_THAN"
"[Pp]lus que","MORE_THAN"


