//******
// Copyright LIMSI-CNRS
// Author: Véronique Moriceau
// E-mail : moriceau@limsi.fr
// Date: 2013-05-27
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
//******
// This file contains "unit words for duration" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "week" is "W"
// FORMAT: "unit-word","normalized-unit-word"
"jours?","D"
"week-ends?","WE"
"weekends?","WE"
"semaines?","W"
"mois","M"
"trimestres?","Q"
"années?","Y"
"ans?","Y"
"décennies?","DE"

// not in reUnit
"siècles?","CE"
"heures?","H"
"minutes?","M"
